quechua;espanol
Kaypim kani;Presente
Manam kaypichu;No esta presente
yaykuymanchu?;Puedo entrar?
yaykumuy;Pase
Lluqsiymanchu?;Puedo salir?
Lluqsiy;Salga
Maytuta kichaychik;Abra el libro
Maytuta wichqaychik;Cierre el libro
Sulpayki;Gracias
Imamanta;De nada
Ama hina kaspa;Por favor
Ima ninkim?;Que dijiste
Allinchu;Esta bien?
Yapamanta;Otra vez
Ima ninantaq;que significa
Manam yachanichu;No sé
Manam atinichu;No puedo
Ima punchawtaq kunan?;Qué dia es?
Ima killataq kunan?;Qué mes es?
Ima watataq kunan?;Qué año es?
Allim punchaw;Buen dia
Allim suka;Buenas tardes 
Allim tuta;Buenas noches
Paqarinkama;Hasta mañana
Minchakama;Hasta pasado mañana
Huk punchawkama;Hasta otro dia
Tupananchikkama;Hasta la proxima
Imatataq richkanki;Que haces?
Ñuqaqa yanuq richkani;Voy a cocinar
Imataq sutiyki?;Cual es tu nombre?
Carlosmi sutiyqa;Me llamo Carlos
Maymantataq kanki?;De donde eres?
Piuramantam kani;Soy de Puiura
Maypitaq tiyanki?;Donde vives?
Surcopim tiyani;Vivo en Surco
Ima kikllupitaq tiyanki?;En que calle vives?
Mayqintaq yupan?;Qué numéro?
Mayqintaq chillikuykipa yupan?;Qué numero de celular?
kunanchu punchawniyki?;Hoy es tu cumpleaños?
Ari, punchawniymi;Si, es mi cumpleaños
Manam, punchawniychu;No, no es mi cumpleaños
Imaymataq…?;como …?
Maypitaq…?;donde ...?
Mayqintaq…?;cual …?
Haykataq…?;Cuanto…?
Haykaptaq…?;Cuando…?
